video,ground_truth,predicted,confidence_fake,inference_time_sec
03_21__secret_conversation__YCSEBZO4.mp4,1,1,0.6842750489711762,6.6
03_21__kitchen_pan__YCSEBZO4.mp4,1,1,0.997870409488678,5.57
03_26__kitchen_pan__WBSXBL82.mp4,1,1,0.9997201561927795,5.57
03_27__walk_down_hall_angry__IL675GCI.mp4,1,1,0.947655302286148,4.08
03_26__talking_against_wall__WBSXBL82.mp4,1,1,0.9997749179601669,4.87
04_01__kitchen_still__6I623VU9.mp4,1,1,0.9983428567647934,5.23
04_01__outside_talking_still_laughing__6I623VU9.mp4,1,1,0.9348362267017365,4.37
04_01__exit_phone_room__0XUW13RW.mp4,1,1,0.985477301478386,5.54
04_01__outside_talking_still_laughing__0XUW13RW.mp4,1,1,0.8288101471029222,4.33
04_07__kitchen_pan__XRK7FGZX.mp4,1,1,0.9552698731422424,4.99
04_12__walking_down_street_outside_angry__96TQKDFJ.mp4,1,1,0.8874758494086563,6.3
04_06__kitchen_still__ZK95PQDE.mp4,1,1,0.9975908458232879,4.61
04_01__secret_conversation__6I623VU9.mp4,1,0,0.3564909264910966,6.43
04_13__podium_speech_happy__00T3UYOR.mp4,1,1,0.9361274272203446,4.19
04_07__exit_phone_room__ITC0C48B.mp4,1,1,0.9248159907758235,4.89
04_13__walking_down_street_outside_angry__00T3UYOR.mp4,1,1,0.9913911372423172,6.05
04_13__secret_conversation__00T3UYOR.mp4,1,0,0.3710300683043897,5.59
04_13__walking_outside_cafe_disgusted__00T3UYOR.mp4,1,1,0.7995452880859375,5.28
04_26__outside_talking_still_laughing__WX836VLY.mp4,1,1,0.8844569540582597,4.42
04_21__walking_down_street_outside_angry__5Y31RZP8.mp4,1,1,0.9988369673490525,6.55
04_18__kitchen_still__NAXINA1N.mp4,1,1,0.9955409705638886,4.61
05_16__exit_phone_room__B62WCGUN.mp4,1,1,0.999377092719078,4.66
05_17__walking_down_street_outside_angry__M3H96PDQ.mp4,1,1,0.9999241292476654,5.88
05_08__talking_against_wall__PRBCE28Z.mp4,1,1,0.9990994691848755,4.19
05_16__walk_down_hall_angry__U9WZI5LK.mp4,1,1,0.9993301093578338,5.29
05_16__walk_down_hall_angry__OSXCUOHX.mp4,1,1,0.9982608765363693,4.23
06_04__walking_outside_cafe_disgusted__ZK95PQDE.mp4,1,1,0.8599677845835686,4.54
06_04__outside_talking_still_laughing__ZK95PQDE.mp4,1,1,0.722518715611659,5.67
06_03__talking_against_wall__4I8LRXWF.mp4,1,1,0.6338623006828129,4.22
06_07__exit_phone_room__NMGYPBXE.mp4,1,1,0.998100683093071,4.27
05_28__exit_phone_room__U9LRLJ6N.mp4,1,1,0.9948534071445465,5.48
05_28__kitchen_still__W3J028UG.mp4,1,1,0.998396223783493,4.63
06_02__podium_speech_happy__N8OSN8P6.mp4,1,1,0.7719535381329479,4.88
06_02__walk_down_hall_angry__37DH75GQ.mp4,1,1,0.9951264023780823,5.24
06_11__walking_outside_cafe_disgusted__MX659QU8.mp4,1,1,0.9263940379023552,5.49
06_12__outside_talking_pan_laughing__3K21NFNM.mp4,1,1,0.7106001259759068,5.88
06_07__walking_down_street_outside_angry__NMGYPBXE.mp4,1,1,0.9959500908851624,5.28
06_07__kitchen_pan__NMGYPBXE.mp4,1,1,0.9969686150550843,5.78
06_12__podium_speech_happy__0VR4Y891.mp4,1,1,0.9215425011701882,4.68
06_12__podium_speech_happy__3K21NFNM.mp4,1,1,0.9819682985544205,4.23
06_14__outside_talking_pan_laughing__8U9ULZDT.mp4,1,1,0.6267322902567685,5.67
06_15__outside_talking_still_laughing__QRCD27P8.mp4,1,1,0.7083686180412769,4.17
06_15__exit_phone_room__QRCD27P8.mp4,1,1,0.9974903225898742,4.19
06_20__kitchen_pan__6SUW7063.mp4,1,1,0.9995573937892914,6.15
06_18__outside_talking_still_laughing__M36D0OJT.mp4,1,1,0.8112898374907672,4.26
06_18__podium_speech_happy__DEA1TCLN.mp4,1,1,0.7154367878189077,4.74
06_18__outside_talking_pan_laughing__DEA1TCLN.mp4,1,0,0.39241995117590706,5.06
06_18__walk_down_hall_angry__LH0KWJKM.mp4,1,1,0.8542491555213928,4.43
06_25__outside_talking_pan_laughing__MI9BDQ7M.mp4,1,1,0.7975052278488874,5.57
06_26__kitchen_pan__L5BVR5L9.mp4,1,1,0.9939074367284775,4.43
06_26__kitchen_still__L5BVR5L9.mp4,1,1,0.9409574329853058,4.71
07_03__podium_speech_happy__6PHZRQ4H.mp4,1,1,0.7112988105975091,5.42
07_02__walking_down_street_outside_angry__O4SXNLRL.mp4,1,1,0.978064575791359,4.97
07_03__outside_talking_pan_laughing__IFSURI9X.mp4,1,1,0.5332523649092764,4.71
07_03__hugging_happy__7NGMD8FT.mp4,1,1,0.7777190875262022,5.04
07_06__kitchen_pan__NMGYPBXE.mp4,1,1,0.8559164699167013,4.62
07_03__walking_outside_cafe_disgusted__F0YYEA5W.mp4,1,1,0.9477323442697525,5.89
07_03__secret_conversation__IFSURI9X.mp4,1,1,0.5037254011258483,4.91
07_12__outside_talking_still_laughing__0VN0A2T3.mp4,1,1,0.6574466134421527,4.13
07_14__talking_against_wall__P9QFO50U.mp4,1,1,0.887447714805603,5.43
07_06__outside_talking_still_laughing__NMGYPBXE.mp4,1,0,0.38262595715932546,4.24
07_06__walking_down_street_outside_angry__NMGYPBXE.mp4,1,1,0.9286952972412109,5.6
07_09__outside_talking_still_laughing__N9CWME71.mp4,1,1,0.7049880980979651,4.87
07_13__walking_outside_cafe_disgusted__RVQCPCJF.mp4,1,1,0.9503914386034011,4.32
07_09__walk_down_hall_angry__N9CWME71.mp4,1,1,0.9870777726173401,5.02
07_14__exit_phone_room__P9QFO50U.mp4,1,1,0.7624584744684398,4.27
07_21__outside_talking_still_laughing__K7KXUHMU.mp4,1,1,0.8644474122673274,4.27
07_20__outside_talking_pan_laughing__KV6Q7D6C.mp4,1,1,0.6488500843639485,5.7
07_20__talking_against_wall__KV6Q7D6C.mp4,1,1,0.8813639938831329,4.49
07_15__hugging_happy__9Z2MLKVX.mp4,1,1,0.6573309907689691,6.3
07_21__exit_phone_room__K7KXUHMU.mp4,1,1,0.9952277988195419,4.81
08_28__outside_talking_pan_laughing__8BC35RFU.mp4,1,1,0.8022373038926162,4.45
07_26__walk_down_hall_angry__FGNGC2GT.mp4,1,1,0.9216086693108082,5.14
07_21__talking_against_wall__MKU99DVX.mp4,1,1,0.9632705092430115,4.43
07_25__walk_down_hall_angry__PAE9HCA8.mp4,1,1,0.7379997558891773,4.1
07_26__walking_down_street_outside_angry__FGNGC2GT.mp4,1,1,0.8506680324673652,6.25
07_27__walking_down_street_outside_angry__3RH5PR6S.mp4,1,1,0.9570199102163315,4.83
08_05__walk_down_hall_angry__FBICSP2C.mp4,1,1,0.9932184010744095,4.43
08_16__podium_speech_happy__8Q7JCS95.mp4,1,1,0.954515091329813,4.91
09_03__kitchen_pan__8DTEGQ54.mp4,1,1,0.8407840117812156,5.04
09_02__walking_down_street_outside_angry__9TDCEK1Q.mp4,1,1,0.9458510786294937,6.81
09_07__kitchen_pan__N9CWME71.mp4,1,1,0.866266093403101,4.81
09_02__walking_down_street_outside_angry__6KUOFMZW.mp4,1,1,0.9926786780357361,6.76
09_02__walk_down_hall_angry__6KUOFMZW.mp4,1,1,0.9941364109516144,4.2
09_13__kitchen_pan__21H6XSPE.mp4,1,1,0.7520854771137238,4.93
09_01__walk_down_hall_angry__6TSGVLHA.mp4,1,1,0.9990750283002854,5.22
09_03__talking_against_wall__8DTEGQ54.mp4,1,1,0.9948940455913544,4.23
09_01__talking_against_wall__O8HNNX43.mp4,1,1,0.957117548584938,4.85
09_20__podium_speech_happy__O5X0AWR9.mp4,1,1,0.9984778493642807,4.83
09_18__outside_talking_pan_laughing__3VP8836C.mp4,1,1,0.5642437740796595,4.62
09_13__outside_talking_pan_laughing__LPT427RY.mp4,1,1,0.7217160659842193,6.18
09_20__kitchen_pan__98NUQ3E6.mp4,1,1,0.888876186311245,4.89
09_26__talking_against_wall__C3K20JOL.mp4,1,1,0.9660073950886726,4.39
10_22__kitchen_still__EHARPYBT.mp4,1,1,0.9338093340396881,5.28
10_22__kitchen_pan__EHARPYBT.mp4,1,1,0.8903894111514091,4.45
09_26__walk_down_hall_angry__QSE5A0GF.mp4,1,1,0.9194317162036896,5.09
09_25__walking_down_street_outside_angry__5041ODBN.mp4,1,1,0.9535715132951736,5.88
10_19__kitchen_still__IDX76N5R.mp4,1,1,0.9776065140962601,4.35
